rank,MOF_Name,predicted_benzene_adsorption,predicted_toluene_adsorption,mean_predicted_adsorption,min_predicted_adsorption,benzene_percentile,toluene_percentile,balanced_score,min_percentile
93,hMOF-1001019-(id:53621),696.3443792938864,1051.192,873.7681979477245,696.3443792938864,0.9985704205908519,0.9993711077706537,0.9989706037406321,0.9985704205908519
94,hMOF-1001063-(id:53667),696.3443792938864,1051.192,873.7681979477245,696.3443792938864,0.9985704205908519,0.9993711077706537,0.9989706037406321,0.9985704205908519
95,GIFKEL_clean-(id:176867),754.7656918856726,982.68463,868.7251616166644,754.7656918856726,0.999846611651379,0.9980795778752646,0.9989623133509796,0.9980795778752646
96,hMOF-22659-(id:37688),745.7964640414637,984.4365,865.1164937394818,745.7964640414637,0.999751510875234,0.9981654753504924,0.998957863580029,0.9981654753504924
97,hMOF-22690-(id:37717),745.7964640414637,984.4365,865.1164937394818,745.7964640414637,0.999751510875234,0.9981654753504924,0.998957863580029,0.9981654753504924
98,hMOF-22643-(id:37669),745.7964640414637,984.4365,865.1164937394818,745.7964640414637,0.999751510875234,0.9981654753504924,0.998957863580029,0.9981654753504924
99,SOBZOY_clean-(id:172137),728.010032410033,991.6156,859.8128164979853,728.010032410033,0.9995950547596405,0.9983188636991134,0.9989565516383371,0.9983188636991134
100,KAHPUE_clean-(id:178540),728.010032410033,991.5375,859.7737539979853,728.010032410033,0.9995950547596405,0.9983065926312237,0.9989504082258671,0.9983065926312237
101,YUCNEQ_clean-(id:184960),699.1793906098551,1023.36707,861.2732280197713,699.1793906098551,0.9986900635027763,0.9991993128201981,0.9989446232592784,0.9986900635027763
102,YUCNEQ_clean-(id:173754),699.1793906098551,1023.36707,861.2732280197713,699.1793906098551,0.9986900635027763,0.9991993128201981,0.9989446232592784,0.9986900635027763
103,hMOF-1001066-(id:53668),696.3443792938864,1040.8553,868.599862986787,696.3443792938864,0.9985704205908519,0.9993128201981778,0.9989414824592328,0.9985704205908519
104,hMOF-1001064-(id:53666),696.3443792938864,1040.8553,868.599862986787,696.3443792938864,0.9985704205908519,0.9993128201981778,0.9989414824592328,0.9985704205908519
105,hMOF-1000949-(id:53549),696.3443792938864,1040.8553,868.599862986787,696.3443792938864,0.9985704205908519,0.9993128201981778,0.9989414824592328,0.9985704205908519
106,SOBZOY_clean-(id:185610),728.010032410033,990.67444,859.3422354432978,728.010032410033,0.9995950547596405,0.9982881860293892,0.9989411929656633,0.9982881860293892
107,hMOF-30728-(id:45729),696.4870181717216,1022.6682,859.5776155311733,696.4870181717216,0.9985980304936037,0.9991901095192809,0.9988939822700189,0.9985980304936037
108,hMOF-20250-(id:35373),699.3167589316699,996.69745,848.0071038310693,699.3167589316699,0.9987084701046108,0.9988741295211215,0.9987912929438031,0.9987084701046108
109,hMOF-20494-(id:35606),699.3167589316699,996.69745,848.0071038310693,699.3167589316699,0.9987084701046108,0.9988741295211215,0.9987912929438031,0.9987084701046108
110,hMOF-20553-(id:35665),699.3167589316699,996.69745,848.0071038310693,699.3167589316699,0.9987084701046108,0.9988741295211215,0.9987912929438031,0.9987084701046108
111,hMOF-22009-(id:37106),699.3167589316699,996.69745,848.0071038310693,699.3167589316699,0.9987084701046108,0.9988741295211215,0.9987912929438031,0.9987084701046108
112,hMOF-33165-(id:48078),742.7784486347135,979.5899,861.184176709935,742.7784486347135,0.9997239009724821,0.9978280209835261,0.9987750612865135,0.9978280209835261
113,hMOF-20175-(id:35315),695.0212586779065,1010.96857,852.994912786219,695.0212586779065,0.9984661165137896,0.9990673988403841,0.9987666671803734,0.9984661165137896
114,hMOF-33174-(id:48089),746.129437918768,977.33887,861.734152553134,746.129437918768,0.9997760530110132,0.997717581372519,0.998745756536199,0.997717581372519
115,hMOF-5059178-(id:118190),688.0859604118389,1083.5782,885.8321037410757,688.0859604118389,0.9977635978771052,0.99970856213762,0.99873513308904,0.9977635978771052
116,hMOF-5059151-(id:118175),688.0859604118389,1083.5782,885.8321037410757,688.0859604118389,0.9977635978771052,0.99970856213762,0.99873513308904,0.9977635978771052
117,GIFKIP_clean-(id:176868),750.1947737389431,975.85126,863.023015531581,750.1947737389431,0.9998190017486271,0.9976408871982084,0.9987287569194097,0.9976408871982084
118,GIFKIP_clean-(id:170233),750.1947737389431,975.85126,863.023015531581,750.1947737389431,0.9998190017486271,0.9976408871982084,0.9987287569194097,0.9976408871982084
119,hMOF-33182-(id:48095),746.129437918768,977.11884,861.6241366839934,746.129437918768,0.9997760530110132,0.9976807681688499,0.9987273116378734,0.9976807681688499
120,tobmof-4059-(id:153584),779.357431133786,964.56555,871.9614914457993,779.357431133786,0.9999447801944964,0.9974660244807805,0.9987038642890123,0.9974660244807805
121,hMOF-20185-(id:35321),715.3713075458189,993.226,854.2986603647064,715.3713075458189,0.9990244501027702,0.9983434058348928,0.9986838118607012,0.9983434058348928
122,OLOKEF_clean-(id:171538),733.9669371532293,977.0157,855.4913115941928,733.9669371532293,0.9996533423321164,0.9976715648679326,0.9986614704245022,0.9976715648679326
123,OLOKEF_clean-(id:180611),733.9669371532293,977.0157,855.4913115941928,733.9669371532293,0.9996533423321164,0.9976715648679326,0.9986614704245022,0.9976715648679326
124,hMOF-33176-(id:48087),753.1991594079636,964.8772,859.0381783367943,753.1991594079636,0.9998404761174341,0.9974721600147253,0.9986549139491023,0.9974721600147253
125,hMOF-33168-(id:48081),749.121601183161,965.4716,857.2966099177524,749.121601183161,0.9998097984477099,0.9974905666165598,0.9986488360054978,0.9974905666165598
126,hMOF-22682-(id:37708),745.4034428826428,968.923,857.1632082577277,745.4034428826428,0.999730036506427,0.9975335153541737,0.9986305681014267,0.9975335153541737
127,ZURQOS_clean-(id:173864),736.6550840868634,967.9666,852.3108489281974,736.6550840868634,0.9996717489339509,0.9975243120532564,0.9985968760037551,0.9975243120532564
128,ZURQOS_clean-(id:185055),736.6550840868634,967.9666,852.3108489281974,736.6550840868634,0.9996717489339509,0.9975243120532564,0.9985968760037551,0.9975243120532564
129,hMOF-33199-(id:48111),702.1134176331474,985.0886,843.6010203400112,702.1134176331474,0.9988465196183698,0.9981838819523269,0.9985150908499472,0.9981838819523269
130,hMOF-22381-(id:165388),755.1877656020704,949.66486,852.4263107795508,755.1877656020704,0.999861950486241,0.9971684510844556,0.9985133843535551,0.9971684510844556
131,hMOF-22434-(id:37506),755.1877656020704,949.66486,852.4263107795508,755.1877656020704,0.999861950486241,0.9971684510844556,0.9985133843535551,0.9971684510844556
132,hMOF-22416-(id:37477),755.1877656020704,949.66486,852.4263107795508,755.1877656020704,0.999861950486241,0.9971684510844556,0.9985133843535551,0.9971684510844556
133,hMOF-22405-(id:165406),755.1877656020704,949.66486,852.4263107795508,755.1877656020704,0.999861950486241,0.9971684510844556,0.9985133843535551,0.9971684510844556
134,hMOF-22688-(id:37715),699.9530046403702,985.53564,842.7443245858101,699.9530046403702,0.9987912998128662,0.9981900174862718,0.9984905681278318,0.9981900174862718
135,hMOF-1001435-(id:54035),689.8475780091671,1003.73846,846.793021182318,689.8475780091671,0.9978832407890297,0.998993772433046,0.9984381978087119,0.9978832407890297
136,hMOF-1001432-(id:54033),689.8475780091671,1003.73846,846.793021182318,689.8475780091671,0.9978832407890297,0.998993772433046,0.9984381978087119,0.9978832407890297
137,hMOF-1001439-(id:54041),689.8475780091671,1003.73846,846.793021182318,689.8475780091671,0.9978832407890297,0.998993772433046,0.9984381978087119,0.9978832407890297
138,hMOF-6000493-(id:164780),689.9735228499106,995.77606,842.8747924308148,689.9735228499106,0.9981838819523269,0.9986685891339694,0.9984261767153041,0.9981838819523269
139,hMOF-1002552-(id:165926),689.9735228499106,995.77606,842.8747924308148,689.9735228499106,0.9981838819523269,0.9986685891339694,0.9984261767153041,0.9981838819523269
140,hMOF-1002866-(id:165943),689.9735228499106,995.77606,842.8747924308148,689.9735228499106,0.9981838819523269,0.9986685891339694,0.9984261767153041,0.9981838819523269
141,hMOF-6002540-(id:54718),689.9735228499106,995.77606,842.8747924308148,689.9735228499106,0.9981838819523269,0.9986685891339694,0.9984261767153041,0.9981838819523269
142,hMOF-1002864-(id:165941),689.9735228499106,995.77606,842.8747924308148,689.9735228499106,0.9981838819523269,0.9986685891339694,0.9984261767153041,0.9981838819523269
143,hMOF-1002550-(id:165924),689.9735228499106,995.77606,842.8747924308148,689.9735228499106,0.9981838819523269,0.9986685891339694,0.9984261767153041,0.9981838819523269
144,hMOF-6003449-(id:165179),689.9735228499106,995.77606,842.8747924308148,689.9735228499106,0.9981838819523269,0.9986685891339694,0.9984261767153041,0.9981838819523269
145,hMOF-6001735-(id:142803),689.9735228499106,995.77606,842.8747924308148,689.9735228499106,0.9981838819523269,0.9986685891339694,0.9984261767153041,0.9981838819523269
146,hMOF-6004515-(id:165187),689.9735228499106,995.77606,842.8747924308148,689.9735228499106,0.9981838819523269,0.9986685891339694,0.9984261767153041,0.9981838819523269
147,hMOF-1001685-(id:165621),689.9735228499106,995.77606,842.8747924308148,689.9735228499106,0.9981838819523269,0.9986685891339694,0.9984261767153041,0.9981838819523269
148,hMOF-6004507-(id:55106),689.9735228499106,995.77606,842.8747924308148,689.9735228499106,0.9981838819523269,0.9986685891339694,0.9984261767153041,0.9981838819523269
149,hMOF-1002557-(id:165929),689.9735228499106,995.77606,842.8747924308148,689.9735228499106,0.9981838819523269,0.9986685891339694,0.9984261767153041,0.9981838819523269
150,hMOF-6000476-(id:164770),689.9735228499106,995.77606,842.8747924308148,689.9735228499106,0.9981838819523269,0.9986685891339694,0.9984261767153041,0.9981838819523269
151,hMOF-1002157-(id:165883),689.9735228499106,995.77606,842.8747924308148,689.9735228499106,0.9981838819523269,0.9986685891339694,0.9984261767153041,0.9981838819523269
152,hMOF-1003095-(id:165951),689.9735228499106,995.77606,842.8747924308148,689.9735228499106,0.9981838819523269,0.9986685891339694,0.9984261767153041,0.9981838819523269
153,hMOF-6002561-(id:165173),689.9735228499106,995.77606,842.8747924308148,689.9735228499106,0.9981838819523269,0.9986685891339694,0.9984261767153041,0.9981838819523269
154,hMOF-6003463-(id:165181),689.9735228499106,995.77606,842.8747924308148,689.9735228499106,0.9981838819523269,0.9986685891339694,0.9984261767153041,0.9981838819523269
155,hMOF-1002750-(id:165932),689.9735228499106,995.77606,842.8747924308148,689.9735228499106,0.9981838819523269,0.9986685891339694,0.9984261767153041,0.9981838819523269
156,hMOF-6003963-(id:54470),689.9735228499106,995.77606,842.8747924308148,689.9735228499106,0.9981838819523269,0.9986685891339694,0.9984261767153041,0.9981838819523269
157,hMOF-6002148-(id:165157),689.9735228499106,995.77606,842.8747924308148,689.9735228499106,0.9981838819523269,0.9986685891339694,0.9984261767153041,0.9981838819523269
158,hMOF-6000531-(id:164808),689.9735228499106,995.77606,842.8747924308148,689.9735228499106,0.9981838819523269,0.9986685891339694,0.9984261767153041,0.9981838819523269
159,hMOF-6002996-(id:165177),689.9735228499106,995.77606,842.8747924308148,689.9735228499106,0.9981838819523269,0.9986685891339694,0.9984261767153041,0.9981838819523269
160,hMOF-6001174-(id:165002),689.9735228499106,995.77606,842.8747924308148,689.9735228499106,0.9981838819523269,0.9986685891339694,0.9984261767153041,0.9981838819523269
161,hMOF-6002170-(id:165163),689.9735228499106,995.77606,842.8747924308148,689.9735228499106,0.9981838819523269,0.9986685891339694,0.9984261767153041,0.9981838819523269
162,hMOF-1002862-(id:55104),689.9735228499106,995.77606,842.8747924308148,689.9735228499106,0.9981838819523269,0.9986685891339694,0.9984261767153041,0.9981838819523269
163,hMOF-1002554-(id:165928),689.9735228499106,995.77606,842.8747924308148,689.9735228499106,0.9981838819523269,0.9986685891339694,0.9984261767153041,0.9981838819523269
164,hMOF-6002552-(id:165171),689.9735228499106,995.77606,842.8747924308148,689.9735228499106,0.9981838819523269,0.9986685891339694,0.9984261767153041,0.9981838819523269
165,hMOF-6000495-(id:164782),689.9735228499106,995.77606,842.8747924308148,689.9735228499106,0.9981838819523269,0.9986685891339694,0.9984261767153041,0.9981838819523269
166,hMOF-1002467-(id:165922),689.9735228499106,995.77606,842.8747924308148,689.9735228499106,0.9981838819523269,0.9986685891339694,0.9984261767153041,0.9981838819523269
167,hMOF-6000478-(id:164772),689.9735228499106,995.77606,842.8747924308148,689.9735228499106,0.9981838819523269,0.9986685891339694,0.9984261767153041,0.9981838819523269
168,hMOF-6003472-(id:165183),689.9735228499106,995.77606,842.8747924308148,689.9735228499106,0.9981838819523269,0.9986685891339694,0.9984261767153041,0.9981838819523269
