MOF,Linker_ID,SMILES,SA_Score,Pred_Tox_IBC50,Pred_Tox_IGC50,Pred_Tox_LC50,Pred_Tox_LC50DM,Mean_Tox,CoPriNet_log_USD_per_mmol,ExactMolWt,CoPriNet_USD_per_mmol,CoPriNet_USD_per_g,CoPriNet_log_USD_per_g,CoPriNet_valid_price,Price_rank_by_row
UDOVUG_charged-(id:172337),0,P(=O)(c1cccc(c1)C(=O)[O])([O])[O],3.648,3.889704901423933,3.2835853251062144,2.8945913125726213,3.926365287784393,3.49856170672179,2.649241209030152,198.979634858,14.143302762325476,71.07914723242263,4.26379400592161,True,179
UDOVOA_clean-(id:182985),0,P(=O)([O])([O])c1cccc(c1)C(=O)[O],3.648,3.889704901423933,3.2835853251062144,2.8945913125726213,3.926365287784393,3.49856170672179,2.6492414474487305,198.979634858,14.14330613435202,71.0791641790139,4.263794244340189,True,180
AXUBAW_clean5b-(id:172986),0,Cc1c(C(=O)[O])c(C)c(c(C(=O)[O])c1C)C,3.099,4.7102335477929005,3.5234469153483614,4.316473443612093,4.996949342090972,4.386775812211082,2.750399351119995,220.073558864,15.648880034270622,71.10749748878847,4.2641927811623805,True,181
AXUBAW_manual-(id:174330),0,Cc1c(C(=O)[O])c(C)c(c(C(=O)[O])c1C)C,3.099,4.7102335477929005,3.5234469153483614,4.316473443612093,4.996949342090972,4.386775812211082,2.7503998279571533,220.073558864,15.648887496239883,71.10753139549358,4.264193257999539,True,182
NACVUI_clean-(id:179936),0,C(C([C](C#N)C#N)(C#N)C#N)C(=O)C,4.116,3.710409443602699,3.5922512898296577,3.740890381739274,4.319642988922695,3.840798526023581,2.5792715549468994,185.04633578,13.187528270214026,71.26608702964303,4.266420576535826,True,183
NACVUI_clean-(id:171254),0,C(C([C](C#N)C#N)(C#N)C#N)C(=O)C,4.116,3.710409443602699,3.5922512898296577,3.740890381739274,4.319642988922695,3.840798526023581,2.5793275833129883,185.04633578,13.18826716657514,71.27008006391739,4.266476604901915,True,184
ODUNEH_clean-(id:180463),0,c1c(C(=O)[O])ccc(c1)c1ccc(cc1)C(=O)[O],2.281,5.265046981795347,4.146257895343153,4.519164203067782,5.5524753526995285,4.870736108226453,2.842907667160034,240.042258736,17.165604909556272,71.51076231304387,4.269847960233437,True,185
GAJVIY_charged-(id:176712),0,c1c(C(=O)[O])ccc(c1)c1ccc(cc1)C(=O)[O],2.281,5.265046981795347,4.146257895343153,4.519164203067782,5.5524753526995285,4.870736108226453,2.8429081439971924,240.042258736,17.165613094756488,71.51079641204068,4.2698484370705945,True,186
ODUNEH_clean-(id:171462),0,c1c(C(=O)[O])ccc(c1)c1ccc(cc1)C(=O)[O],2.281,5.265046981795347,4.146257895343153,4.519164203067782,5.5524753526995285,4.870736108226453,2.8429083824157715,240.042258736,17.16561718735806,71.51081346154518,4.269848675489175,True,187
GAJVIY_charged-(id:170136),0,c1c(C(=O)[O])ccc(c1)c1ccc(cc1)C(=O)[O],2.281,5.265046981795347,4.146257895343153,4.519164203067782,5.5524753526995285,4.870736108226453,2.8429086208343506,240.042258736,17.165621279960604,71.51083051105373,4.269848913907753,True,188
ERULEK_clean-(id:176013),0,c1c(C(=O)[O])ccc(c1)c1ccc(C(=O)[O])cc1,2.281,5.265046981795347,4.146257895343153,4.519164203067782,5.5524753526995285,4.870736108226453,2.842909574508667,240.042258736,17.16563765038055,71.51089870912867,4.269849867582069,True,189
XALDAS_clean-(id:184442),0,c1cc(ccc1c1ccc(C(=O)[O])cc1)C(=O)[O],2.281,5.265046981795347,4.146257895343153,4.519164203067782,5.5524753526995285,4.870736108226453,2.8429105281829834,240.042258736,17.16565402081611,71.51096690726862,4.2698508212563855,True,190
KUBQAA_charged-(id:170825),1,c1cc(ccn1)c1ccncc1,1.643,4.9674436051054,4.443010566679908,4.1451808180748975,5.248093174140868,4.700932041000268,2.4169726371765137,156.068748256,11.211865500241712,71.83927356071864,4.274431312037454,True,191
KOGYIP_clean-(id:178766),0,c1cc(ccn1)c1ccncc1,1.643,4.9674436051054,4.443010566679908,4.1451808180748975,5.248093174140868,4.700932041000268,2.4169728755950928,156.068748256,11.211868173359072,71.83929068853818,4.2744315504560335,True,192
UXUPEJ_clean-(id:172428),0,c1cc(ccn1)c1ccncc1,1.643,4.9674436051054,4.443010566679908,4.1451808180748975,5.248093174140868,4.700932041000268,2.4169728755950928,156.068748256,11.211868173359072,71.83929068853818,4.2744315504560335,True,193
CUPHUS_clean-(id:175222),0,c1cnccc1c1ccncc1,1.643,4.9674436051054,4.443010566679908,4.1451808180748975,5.248093174140868,4.700932041000268,2.4169728755950928,156.068748256,11.211868173359072,71.83929068853818,4.2744315504560335,True,194
